DifferentialExtensions	DifferentialExtensions
DifferentialFields	DifferentialFields
Exercise22Compute	Compute/Exercise22
Exercise23Compute	Compute/Exercise23
Exercise25Compute	Compute/Exercise25
GenericPolyEngine	Computable/GenericPolyEngine	# REVIEW-RESOLVED: user override 2026-07-02
GroebnerBasis	GroebnerBasis
HermiteCompute	Compute/Hermite
HermiteCorrectness	HermiteCorrectness
HorowitzLinearSolve	HorowitzLinearSolve
InFieldIntegration	InFieldIntegration
InFieldIntegrationCapstone	InFieldIntegrationCapstone
IntegrationFunctionsCatalog	Computable/IntegrationFunctionsCatalog	# REVIEW: no Computable prefix; §3.2 lists as cross-cutting engine catalog -> rule 6
LaurentCoefficients	LaurentCoefficients
LazardRiobooTragerCorrectness	LazardRiobooTragerCorrectness
LiouvilleExpExtension	LiouvilleExpExtension
LiouvilleLogExtension	LiouvilleLogExtension
LogToAtanCompute	Compute/LogToAtan
LrtMonicLogs	LrtMonicLogs
MonomialConstants	MonomialConstants
MonomialExtensions	MonomialExtensions
PartialFraction	PartialFraction
PseudoDivision	PseudoDivision
PseudoRemainderSequence	PseudoRemainderSequence
RationalFunctionCompute	Compute/RationalFunction
RationalFunctionDerivative	RationalFunctionDerivative
RationalIntegration	RationalIntegration
RationalIntegrationAlgorithms	RationalIntegrationAlgorithms
RationalIntegrationExamples	RationalIntegrationExamples
RationalIntegrationGcdLogForm	RationalIntegrationGcdLogForm
RationalIntegrationInvXPow	RationalIntegrationInvXPow
RationalIntegrationLiouville	RationalIntegrationLiouville
RationalIntegrationLogForm	RationalIntegrationLogForm
RealFieldExamples	RealFieldExamples
RecognizingLogDeriv	RecognizingLogDeriv
ResidueMultiplicity	ResidueMultiplicity
Residues	Residues
RiobooCoprimality	RiobooCoprimality
RiobooCoprimalityLrt	RiobooCoprimalityLrt
RiobooLogToAtan	RiobooLogToAtan
RiobooLogToAtanExample	RiobooLogToAtanExample
RiobooLogToReal	RiobooLogToReal
RiobooLogToRealRecursion	RiobooLogToRealRecursion
RiobooLogToRealSplit	RiobooLogToRealSplit
RiobooRealLogarithm	RiobooRealLogarithm
RtResultantCompute	Compute/RtResultant
RtResultantCorrectness	RtResultantCorrectness
SpecialFirstKind	SpecialFirstKind
SquarefreeFactorization	SquarefreeFactorization
SubresultantCompute	Compute/Subresultant
SubresultantCorrectness	SubresultantCorrectness
SubresultantPRS	SubresultantPRS
Subresultants	Subresultants
